Mã,Tên công ty,Ngành ICB - cấp 1,Ngành ICB - cấp 2,Ngành ICB - cấp 3,Ngành ICB - cấp 4,Năm,Financial_State_Rule,Pass_Ratio,Company_Label
BKG,Đầu tư BKG Việt Nam,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng cá nhân,2020,Stable,0.5,BKG - Đầu tư BKG Việt Nam
BKG,Đầu tư BKG Việt Nam,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng cá nhân,2021,Stable,0.5,BKG - Đầu tư BKG Việt Nam
BKG,Đầu tư BKG Việt Nam,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng cá nhân,2022,Stable,0.5,BKG - Đầu tư BKG Việt Nam
BKG,Đầu tư BKG Việt Nam,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng gia dụng,Thiết bị gia dụng,2023,Stable,0.5,BKG - Đầu tư BKG Việt Nam
BKG,Đầu tư BKG Việt Nam,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng gia dụng,Thiết bị gia dụng,2024,Stable,0.5,BKG - Đầu tư BKG Việt Nam
BMC,Khoáng sản Bình Định,Nguyên vật liệu,Tài nguyên Cơ bản,Khai khoáng,Khai khoáng,2020,Healthy,0.75,BMC - Khoáng sản Bình Định
BMC,Khoáng sản Bình Định,Nguyên vật liệu,Tài nguyên Cơ bản,Khai khoáng,Khai khoáng,2021,Stable,0.5,BMC - Khoáng sản Bình Định
BMC,Khoáng sản Bình Định,Nguyên vật liệu,Tài nguyên Cơ bản,Khai khoáng,Khai khoáng,2022,Healthy,0.75,BMC - Khoáng sản Bình Định
BMC,Khoáng sản Bình Định,Nguyên vật liệu,Tài nguyên Cơ bản,Khai khoáng,Khai khoáng,2023,Stable,0.5,BMC - Khoáng sản Bình Định
BMC,Khoáng sản Bình Định,Nguyên vật liệu,Tài nguyên Cơ bản,Khai khoáng,Khai khoáng,2024,Healthy,0.75,BMC - Khoáng sản Bình Định
BMP,Nhựa Bình Minh,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2020,Healthy,1.0,BMP - Nhựa Bình Minh
BMP,Nhựa Bình Minh,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2021,Healthy,1.0,BMP - Nhựa Bình Minh
BMP,Nhựa Bình Minh,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2022,Healthy,1.0,BMP - Nhựa Bình Minh
BMP,Nhựa Bình Minh,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2023,Healthy,0.75,BMP - Nhựa Bình Minh
