Symbol,Company Name,Industry,Start Year,End Year,Overall State,Trend
TTF,Gỗ Trường Thành,Nguyên vật liệu,2020,2024,High Risk,Deteriorating
TV2,Tư vấn XD Điện 2,Công nghiệp,2020,2024,At Risk,Deteriorating
TVT,May Việt Thắng,Hàng Tiêu dùng,2020,2024,At Risk,Stable
TYA,Dây và Cáp điện Taya,Công nghiệp,2020,2024,Stable,Stable
UIC,Phát triển Nhà và Đô thị IDICO,Công nghiệp,2020,2022,Healthy,Stable
UIC,Phát triển Nhà và Đô thị IDICO,Tiện ích Cộng đồng,2023,2024,Stable,Deteriorating
VAF,Phân lân Văn Điển,Nguyên vật liệu,2020,2024,Stable,Stable
VCA,Thép VICASA - VNSTEEL,Nguyên vật liệu,2020,2024,At Risk,Deteriorating
VCF,VinaCafé Biên Hòa,Hàng Tiêu dùng,2020,2024,Healthy,Stable
VCG,VINACONEX,Công nghiệp,2020,2024,High Risk,Stable
VDP,Dược phẩm VIDIPHA,Dược phẩm và Y tế,2020,2024,At Risk,Improving
VFG,Khử trùng Việt Nam,Nguyên vật liệu,2020,2024,At Risk,Improving
VGC,Tổng Công ty Viglacera,Công nghiệp,2020,2024,High Risk,Improving
VHC,Thủy sản Vĩnh Hoàn,Hàng Tiêu dùng,2020,2024,Stable,Stable
VID,Viễn Đông,Nguyên vật liệu,2020,2024,High Risk,Stable
VIP,Vận tải Xăng dầu VIPCO,Công nghiệp,2020,2024,Stable,Stable
VJC,Vietjet Air,Dịch vụ Tiêu dùng,2020,2024,High Risk,Improving
VMD,Y Dược phẩm Vimedimex,Dược phẩm và Y tế,2020,2024,At Risk,Deteriorating
VNE,Xây dựng điện Việt Nam,Công nghiệp,2020,2024,High Risk,Deteriorating
VNG,DL Thành Thành Công,Dịch vụ Tiêu dùng,2020,2024,High Risk,Stable
VNL,Logistics Vinalink,Công nghiệp,2020,2022,Healthy,Improving
VNL,Vinalink Logistics,Công nghiệp,2023,2024,Healthy,Stable
VNM,VINAMILK,Hàng Tiêu dùng,2020,2024,Healthy,Stable
VNS,Ánh Dương Việt Nam,Dịch vụ Tiêu dùng,2020,2024,At Risk,Deteriorating
VOS,Vận tải Biển Việt Nam,Công nghiệp,2020,2024,Stable,Improving
VPD,Phát triển Điện lực Việt Nam,Tiện ích Cộng đồng,2020,2024,At Risk,Improving
VPG,Đầu tư TMại XNK Việt Phát,Nguyên vật liệu,2020,2024,At Risk,Deteriorating
VPS,Thuốc sát trùng Việt Nam,Nguyên vật liệu,2020,2024,High Risk,Improving
VSC,VICONSHIP,Công nghiệp,2020,2024,Stable,Deteriorating
VSH,Thủy điện Vĩnh Sơn - Sông Hinh,Tiện ích Cộng đồng,2020,2024,At Risk,Improving
VSI,Đầu tư và Xây dựng Cấp thoát nước,Công nghiệp,2020,2022,High Risk,Stable
VTB,Viettronics Tân Bình,Công nghiệp,2020,2024,Stable,Deteriorating
VTO,VITACO,Công nghiệp,2020,2024,At Risk,Improving
