Ticker,Company Name,Industry,Year (t),Year (t+1),Financial State (t),Financial State (t+1)
DGC,Hóa chất Đức Giang,Nguyên vật liệu,2020,2021,Stable,At_Risk
DGC,Hóa chất Đức Giang,Nguyên vật liệu,2021,2022,At_Risk,Healthy
DGC,Hóa chất Đức Giang,Nguyên vật liệu,2022,2023,Healthy,Stable
DGC,Hóa chất Đức Giang,Nguyên vật liệu,2023,2024,Stable,Healthy
DGW,Thế Giới Số,Dịch vụ Tiêu dùng,2020,2021,Stable,Healthy
DGW,Thế Giới Số,Dịch vụ Tiêu dùng,2021,2022,Healthy,Stable
DGW,Thế Giới Số,Dịch vụ Tiêu dùng,2022,2023,Stable,At_Risk
DGW,Thế Giới Số,Dịch vụ Tiêu dùng,2023,2024,At_Risk,At_Risk
DHA,Hóa An,Công nghiệp,2020,2021,Healthy,Healthy
DHA,Hóa An,Công nghiệp,2021,2022,Healthy,Healthy
DHA,Hóa An,Công nghiệp,2022,2023,Healthy,Healthy
DHA,Hóa An,Công nghiệp,2023,2024,Healthy,Healthy
DHC,Đông Hải Bến Tre,Nguyên vật liệu,2020,2021,Healthy,Stable
DHC,Đông Hải Bến Tre,Nguyên vật liệu,2021,2022,Stable,At_Risk
DHC,Đông Hải Bến Tre,Nguyên vật liệu,2022,2023,At_Risk,At_Risk
DHC,Đông Hải Bến Tre,Nguyên vật liệu,2023,2024,At_Risk,Stable
DHG,Dược Hậu Giang,Dược phẩm và Y tế,2020,2021,Healthy,Healthy
DHG,Dược Hậu Giang,Dược phẩm và Y tế,2021,2022,Healthy,Healthy
DHG,Dược Hậu Giang,Dược phẩm và Y tế,2022,2023,Healthy,Healthy
DHG,Dược Hậu Giang,Dược phẩm và Y tế,2023,2024,Healthy,Healthy
DHM,Khoáng sản Dương Hiếu,Nguyên vật liệu,2020,2021,Stable,Stable
DHM,Khoáng sản Dương Hiếu,Nguyên vật liệu,2021,2022,Stable,At_Risk
DHM,Khoáng sản Dương Hiếu,Nguyên vật liệu,2022,2023,At_Risk,At_Risk
DHM,Khoáng sản Dương Hiếu,Nguyên vật liệu,2023,2024,At_Risk,At_Risk
DLG,Đức Long Gia Lai,Nguyên vật liệu,2020,2021,High_Risk,At_Risk
DLG,Đức Long Gia Lai,Nguyên vật liệu,2021,2022,At_Risk,At_Risk
DLG,Đức Long Gia Lai,Nguyên vật liệu,2022,2023,At_Risk,High_Risk
DLG,Đức Long Gia Lai,Nguyên vật liệu,2023,2024,High_Risk,At_Risk
DMC,Dược phẩm DOMESCO,Dược phẩm và Y tế,2020,2021,Healthy,Healthy
DMC,Dược phẩm DOMESCO,Dược phẩm và Y tế,2021,2022,Healthy,Healthy
DMC,Dược phẩm DOMESCO,Dược phẩm và Y tế,2022,2023,Healthy,Healthy
DMC,Dược phẩm DOMESCO,Dược phẩm và Y tế,2023,2024,Healthy,Healthy
DPG,Tập đoàn Đạt Phương,Công nghiệp,2020,2021,High_Risk,At_Risk
DPG,Tập đoàn Đạt Phương,Công nghiệp,2021,2022,At_Risk,At_Risk
DPG,Tập đoàn Đạt Phương,Công nghiệp,2022,2023,At_Risk,High_Risk
DPG,Tập đoàn Đạt Phương,Công nghiệp,2023,2024,High_Risk,At_Risk
DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí,Nguyên vật liệu,2020,2021,Healthy,Stable
DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí,Nguyên vật liệu,2021,2022,Stable,Healthy
DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí,Nguyên vật liệu,2022,2023,Healthy,Stable
DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí,Nguyên vật liệu,2023,2024,Stable,At_Risk
DPR,Cao su Đồng Phú,Nguyên vật liệu,2020,2021,Stable,Stable
DPR,Cao su Đồng Phú,Nguyên vật liệu,2021,2022,Stable,Stable
DPR,Cao su Đồng Phú,Nguyên vật liệu,2022,2023,Stable,Stable
DPR,Cao su Đồng Phú,Nguyên vật liệu,2023,2024,Stable,Healthy
DQC,Tập đoàn Điện Quang,Hàng Tiêu dùng,2020,2021,At_Risk,At_Risk
DQC,Tập đoàn Điện Quang,Hàng Tiêu dùng,2021,2022,At_Risk,At_Risk
DQC,Tập đoàn Điện Quang,Hàng Tiêu dùng,2022,2023,At_Risk,At_Risk
DQC,Tập đoàn Điện Quang,Hàng Tiêu dùng,2023,2024,At_Risk,At_Risk
DRC,Cao su Đà Nẵng,Hàng Tiêu dùng,2020,2021,Healthy,Healthy
DRC,Cao su Đà Nẵng,Hàng Tiêu dùng,2021,2022,Healthy,Healthy
