Mã,Tên công ty,Ngành ICB - cấp 1,Ngành ICB - cấp 2,Ngành ICB - cấp 3,Ngành ICB - cấp 4,Năm,Selected_Size_Indicator,Size_Label
AST,Dịch vụ Hàng không Taseco,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng,2023,ln_Total_Assets,Medium
AST,Dịch vụ Hàng không Taseco,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng,2024,ln_Total_Assets,Medium
BAF,Nông nghiệp BAF Việt Nam,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2020,ln_Total_Assets,Large
BAF,Nông nghiệp BAF Việt Nam,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2021,ln_Total_Assets,Large
BAF,Nông nghiệp BAF Việt Nam,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2022,ln_Total_Assets,Large
BAF,Nông nghiệp BAF Việt Nam,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2023,ln_Total_Assets,Large
BAF,Nông nghiệp BAF Việt Nam,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2024,ln_Total_Assets,Large
BBC,Bánh kẹo BIBICA,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm,2020,ln_Total_Assets,Medium
BBC,Bánh kẹo BIBICA,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm,2021,ln_Total_Assets,Medium
BBC,Bánh kẹo BIBICA,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm,2022,ln_Total_Assets,Medium
BBC,Bánh kẹo BIBICA,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm,2023,ln_Total_Assets,Medium
BBC,Bánh kẹo BIBICA,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm,2024,ln_Total_Assets,Medium
BCE,XD và GT Bình Dương,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2020,ln_Revenue,Small
BCE,XD và GT Bình Dương,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2021,ln_Revenue,Small
BCE,XD và GT Bình Dương,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2022,ln_Revenue,Small
BCE,XD và GT Bình Dương,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2023,ln_Revenue,Small
BCE,XD và GT Bình Dương,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2024,ln_Revenue,Small
BFC,Phân bón Bình Điền,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",2020,ln_Total_Assets,Large
BFC,Phân bón Bình Điền,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",2021,ln_Total_Assets,Large
BFC,Phân bón Bình Điền,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",2022,ln_Total_Assets,Large
BFC,Phân bón Bình Điền,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",2023,ln_Total_Assets,Medium
BFC,Phân bón Bình Điền,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",2024,ln_Total_Assets,Medium
BHN,HABECO,Hàng Tiêu dùng,Thực phẩm và đồ uống,Bia và đồ uống,Sản xuất bia,2020,ln_Total_Assets,Large
