Mã,Tên công ty,Sàn,Ngành ICB - cấp 1,Ngành ICB - cấp 2,Ngành ICB - cấp 3,Ngành ICB - cấp 4,Năm,Current_Ratio,Quick_Ratio,Cash_Ratio,Debt_Equity,Net_Leverage,Asset_Turnover,Fixed_Asset_Turnover,Inventory_Turnover,Receivables_Turnover,ln_Total_Assets,ln_Revenue,ROA,ROE,ROS
ADP,Sơn Á Đông,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2023,3.597566289256002,2.271716637964901,0.19666694571723292,0.3277911096382094,1.7168358977498979,1.35371929426841,12.120312585307582,-0.4111904903489472,7.900172143324121,5.946280474731946,6.2484526492936245,0.15454919349338644,0.20520904512227392,0.11416635202566823
ADP,Sơn Á Đông,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2024,3.832685831518696,2.1720994183273863,0.11752123126189006,0.3048609304944233,1.1538955199668128,2.3012936159900548,22.01116640247147,-0.10299462746144088,11.9230831296284,5.876023149796241,6.707906654705635,0.23900281222830028,0.3118654319550038,0.10385585331990646
ADS,Dệt sợi DAMSAN,HOSE,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,2020,1.1527005127622556,0.7849886000088862,0.027706503288918688,3.3537100737271133,47.65507593836355,0.7285580991790099,4.889582590109784,,2.0168692291303985,7.516918018338342,7.200432701121936,0.013299164650968236,0.05790070711307593,0.018254089366317748
ADS,Dệt sợi DAMSAN,HOSE,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,2021,1.2358469415131945,0.77958982482736,0.09764875888347527,2.399829942484304,11.441690286581158,0.7622281987133809,6.732432171148705,-0.23734261445578697,2.463493057138637,7.593962735287804,7.322610485900886,0.050618509241163616,0.17209432336202649,0.0664086022094252
ADS,Dệt sợi DAMSAN,HOSE,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,2022,1.2238306213791117,0.887287332437331,0.040055296571719794,2.320212224030373,11.850889040126898,0.7758025422929891,9.385788002477199,0.09728601465721236,2.039132105981066,7.688315517125135,7.43459066091623,0.03435109004935467,0.11405290909063547,0.044278135449034986
ADS,Dệt sợi DAMSAN,HOSE,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,2023,1.3207585556611274,0.95967080514787,0.10322627480373278,1.7266976278062238,18.328805629320428,0.6557450843523648,10.4828323890525,-0.3027228453347946,1.8635488311805886,7.825961078703521,7.404187491626063,0.02995058528169861,0.08166618983901561,0.04567412855451106
ADS,Dệt sợi DAMSAN,HOSE,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,2024,1.2373568393425858,0.8919147501295321,0.1691420633034726,1.715656317033709,16.253049143190786,0.6252149000828249,11.622248077375222,-0.12916007894907308,2.073828652104638,7.86584202738351,7.396412117450409,0.021511779939549055,0.0584186010834754,0.034407017389859545
AGG,Bất động sản An Gia,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản,2020,2.02112270925919,0.561473459891036,0.11625355717654534,3.2027112623288883,18.97816753425618,0.17979825377714143,47.3478661686933,,0.9340233407588574,9.185472906064165,7.4700205928884875,0.045599336504015014,0.1916408450801487,0.25361390083651786
AGG,Bất động sản An Gia,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản,2021,1.8290538550424689,0.6002647955967662,0.06558291533334497,3.6960972514542334,37.08886343648528,0.14392276418793093,55.267691856497706,-0.18696461988116186,0.5789881325335459,9.438736337903016,7.500731103663217,0.03351954828441756,0.15741105856844081,0.2328995588262086
AGG,Bất động sản An Gia,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản,2022,1.4463996622822972,0.736803107939997,0.12015552827695813,3.0719298981971526,-42.62376527917734,0.5576085913251535,297.9874806453851,0.7214133766577467,1.6995705632774487,9.314657891549656,8.730631355077131,0.00869974457347264,0.035424750035401686,0.015601884025491336
